.--------------------------------------------------------------------------------------------.
|                 Ship                 | MWD Speed  | Tornado Bump | Orca Bump | RCU | Nanos |
|--------------------------------------|------------|--------------|-----------|-----|-------|
| Cockroach                            | 52,214 m/s | 147,113km    | 53,028 km |   0 |     8 |
| Gold Magnate                         | 24,774 m/s | 72,417km     | 26,442 km |   1 |     5 |
| Claw                                 | 25,966 m/s | 72,568km     | 26,085 km |   4 |     0 |
| Crusader                             | 24,805 m/s | 68,916km     | 24,723 km |   4 |     0 |
| Silver Magnate                       | 21,497 m/s | 62,836km     | 22,944 km |   2 |     3 |
| Taranis                              | 22,861 m/s | 63,591km     | 22,822 km |   3 |     0 |
| Raptor                               | 22,897 m/s | 63,615km     | 22,821 km |   3 |     0 |
| Draugur                              | 19,125 m/s | 55,603km     | 20,263 km |   2 |     2 |
| Hydra                                | 20,242 m/s | 55,570km     | 19,856 km |   1 |     3 |
| Malediction                          | 18,952 m/s | 53,213km     | 19,158 km |   4 |     0 |
| Geri                                 | 18,082 m/s | 51,758km     | 18,759 km |   4 |     0 |
| Dramiel                              | 19,105 m/s | 52,450km     | 18,741 km |   3 |     0 |
| Magus                                | 18,486 m/s | 51,964km     | 18,716 km |   3 |     1 |
| Punisher                             | 18,230 m/s | 51,483km     | 18,572 km |   1 |     4 |
| SOCT 2                               | 17,981 m/s | 50,836km     | 18,346 km |   4 |     0 |
| Imp                                  | 18,839 m/s | 51,406km     | 18,331 km |   4 |     0 |
| Bifrost                              | 17,688 m/s | 50,209km     | 18,144 km |   3 |     0 |
| Caedes                               | 17,762 m/s | 50,218km     | 18,123 km |   3 |     2 |
| Inquisitor                           | 16,641 m/s | 49,321km     | 18,100 km |   3 |     1 |
| Deacon                               | 16,641 m/s | 49,321km     | 18,100 km |   4 |     1 |
| Raiju                                | 18,168 m/s | 50,100km     | 17,928 km |   3 |     0 |
| Chremoas                             | 18,332 m/s | 50,207km     | 17,925 km |   3 |     0 |
| Stiletto                             | 17,897 m/s | 49,488km     | 17,725 km |   3 |     0 |
| Stork                                | 17,007 m/s | 48,630km     | 17,619 km |   2 |     0 |
| Slasher                              | 17,513 m/s | 48,802km     | 17,525 km |   2 |     0 |
| Crow                                 | 17,541 m/s | 48,820km     | 17,524 km |   2 |     0 |
| Whiptail                             | 17,719 m/s | 48,938km     | 17,521 km |   4 |     0 |
| Pontifex                             | 16,880 m/s | 47,998km     | 17,355 km |   5 |     0 |
| Ares                                 | 17,651 m/s | 48,459km     | 17,315 km |   4 |     0 |
| Punisher Kador Edition               | 16,840 m/s | 47,557km     | 17,156 km |   2 |     2 |
| Punisher Tash-Murkon Edition         | 16,840 m/s | 47,557km     | 17,156 km |   2 |     2 |
| Endurance                            | 15,827 m/s | 46,761km     | 17,140 km |   3 |     0 |
| Atron                                | 17,173 m/s | 47,711km     | 17,116 km |   3 |     0 |
| Burst                                | 16,049 m/s | 46,506km     | 16,928 km |   3 |     0 |
| Scalpel                              | 16,049 m/s | 46,506km     | 16,928 km |   3 |     0 |
| Garmur                               | 17,136 m/s | 47,253km     | 16,909 km |   3 |     0 |
| Navitas                              | 15,786 m/s | 45,896km     | 16,726 km |   3 |     0 |
| Thalia                               | 15,786 m/s | 45,896km     | 16,726 km |   4 |     0 |
| Vigil                                | 16,686 m/s | 46,523km     | 16,710 km |   2 |     0 |
| Executioner                          | 16,660 m/s | 46,506km     | 16,710 km |   3 |     0 |
| Republic Fleet Firetail              | 16,640 m/s | 46,492km     | 16,710 km |   3 |     0 |
| Echelon                              | 16,331 m/s | 45,768km     | 16,467 km |   0 |     0 |
| Mekubal                              | 15,530 m/s | 45,103km     | 16,430 km |   1 |     3 |
| Condor                               | 16,229 m/s | 45,355km     | 16,303 km |   2 |     0 |
| Vigil Fleet Issue                    | 16,279 m/s | 45,388km     | 16,302 km |   3 |     0 |
| Cruor                                | 16,112 m/s | 44,515km     | 15,940 km |   2 |     2 |
| Probe Fleet Issue                    | 15,565 m/s | 43,617km     | 15,693 km |   3 |     0 |
| Daredevil                            | 16,318 m/s | 44,108km     | 15,680 km |   4 |     0 |
| Magnate Navy Issue                   | 15,617 m/s | 43,501km     | 15,619 km |   4 |     1 |
| Cambion                              | 15,800 m/s | 43,622km     | 15,616 km |   2 |     1 |
| Imperial Navy Slicer                 | 15,785 m/s | 43,612km     | 15,616 km |   4 |     1 |
| Damavik                              | 15,917 m/s | 43,699km     | 15,614 km |   2 |     1 |
| Cheetah                              | 14,713 m/s | 42,681km     | 15,542 km |   4 |     0 |
| Prospect                             | 14,738 m/s | 42,615km     | 15,500 km |   4 |     0 |
| Kikimora                             | 14,376 m/s | 42,294km     | 15,479 km |   2 |     2 |
| Hyena                                | 15,004 m/s | 42,377km     | 15,288 km |   3 |     0 |
| Wolf                                 | 15,034 m/s | 42,397km     | 15,287 km |   5 |     0 |
