.--------------------------------------------------------------------------------------------.
|                Ship                |  MWD Speed  | Tornado Bump | Orca Bump  | RCU | Nanos |
|------------------------------------|-------------|--------------|------------|-----|-------|
| Opux Dragoon Yacht                 | 101,929 m/s | 801,515km    | 746,670 km |   0 |     5 |
| Bestla                             | 15,620 m/s  | 122,283km    | 112,673 km |   0 |     5 |
| Vagabond                           | 15,374 m/s  | 120,332km    | 110,823 km |   0 |     5 |
| Stabber                            | 15,006 m/s  | 117,382km    | 107,945 km |   0 |     4 |
| Stabber Nefantar Edition           | 15,006 m/s  | 117,382km    | 107,945 km |   0 |     4 |
| Stabber Krusual Edition            | 15,006 m/s  | 117,382km    | 107,945 km |   0 |     4 |
| Exequror Navy Issue                | 14,703 m/s  | 114,968km    | 105,626 km |   0 |     6 |
| Scythe Fleet Issue                 | 14,745 m/s  | 115,156km    | 105,491 km |   0 |     5 |
| Tiamat                             | 14,259 m/s  | 110,848km    | 100,428 km |   0 |     5 |
| Omen Navy Issue                    | 14,016 m/s  | 109,444km    | 100,211 km |   0 |     7 |
| Cynabal                            | 14,260 m/s  | 110,674km    | 99,877 km  |   0 |     5 |
| Moracha                            | 14,176 m/s  | 109,887km    | 98,885 km  |   0 |     5 |
| Omen                               | 13,303 m/s  | 104,586km    | 97,374 km  |   0 |     6 |
| Omen Kador Edition                 | 13,303 m/s  | 104,586km    | 97,374 km  |   0 |     6 |
| Omen Tash-Murkon Edition           | 13,303 m/s  | 104,586km    | 97,374 km  |   0 |     6 |
| Bellicose                          | 13,423 m/s  | 105,049km    | 96,717 km  |   0 |     4 |
| Osprey Navy Issue                  | 13,376 m/s  | 104,759km    | 96,623 km  |   0 |     4 |
| Stabber Fleet Issue                | 13,223 m/s  | 103,236km    | 94,497 km  |   0 |     6 |
| Scimitar                           | 12,955 m/s  | 101,561km    | 93,899 km  |   0 |     4 |
| Rabisu                             | 12,791 m/s  | 100,563km    | 93,629 km  |   0 |     6 |
| Opux Luxury Yacht                  | 12,777 m/s  | 100,474km    | 93,599 km  |   0 |     6 |
| Vigilant                           | 12,997 m/s  | 101,140km    | 91,855 km  |   0 |     6 |
| Vedmak                             | 12,951 m/s  | 100,676km    | 91,213 km  |   0 |     6 |
| Fiend                              | 13,023 m/s  | 101,054km    | 91,160 km  |   0 |     5 |
| Exequror                           | 12,653 m/s  | 98,854km     | 90,636 km  |   0 |     6 |
| Thorax                             | 12,567 m/s  | 98,264km     | 90,279 km  |   0 |     5 |
| Thorax Aliastra Edition            | 12,567 m/s  | 98,264km     | 90,279 km  |   0 |     5 |
| Thorax Inner Zone Shipping Edition | 12,567 m/s  | 98,264km     | 90,279 km  |   0 |     5 |
| Zarmazd                            | 12,700 m/s  | 98,968km     | 90,179 km  |   0 |     6 |
| Khizriel                           | 12,507 m/s  | 97,875km     | 90,091 km  |   0 |     6 |
| Rodiva                             | 12,617 m/s  | 98,281km     | 89,467 km  |   0 |     6 |
| Huginn                             | 12,390 m/s  | 96,968km     | 89,277 km  |   0 |     4 |
| Muninn                             | 12,393 m/s  | 96,818km     | 88,755 km  |   0 |     6 |
| Cybele                             | 12,374 m/s  | 96,701km     | 88,718 km  |   0 |     6 |
| Augoror                            | 12,013 m/s  | 94,406km     | 87,809 km  |   0 |     5 |
| Deimos                             | 12,044 m/s  | 94,233km     | 86,698 km  |   0 |     6 |
| Phantasm                           | 12,255 m/s  | 95,288km     | 86,380 km  |   0 |     5 |
| Orthrus                            | 12,285 m/s  | 95,447km     | 86,357 km  |   0 |     4 |
| Adrestia                           | 12,006 m/s  | 93,821km     | 86,075 km  |   0 |     6 |
| Laelaps                            | 12,106 m/s  | 94,351km     | 86,013 km  |   0 |     4 |
| Oneiros                            | 11,707 m/s  | 92,082km     | 85,836 km  |   0 |     5 |
| Rapier                             | 11,967 m/s  | 93,502km     | 85,742 km  |   0 |     4 |
| Caracal                            | 11,809 m/s  | 92,527km     | 85,427 km  |   0 |     4 |
| Caracal Nugoeihuvi Edition         | 11,809 m/s  | 92,527km     | 85,427 km  |   0 |     4 |
| Caracal Wiyrkomi Edition           | 11,809 m/s  | 92,527km     | 85,427 km  |   0 |     4 |
| Cyclone Fleet Issue                | 11,690 m/s  | 91,732km     | 85,015 km  |   0 |     5 |
| Claymore                           | 11,394 m/s  | 89,442km     | 82,956 km  |   0 |     4 |
| Hurricane Fleet Issue              | 11,346 m/s  | 89,143km     | 82,869 km  |   0 |     6 |
| Ikitursa                           | 11,444 m/s  | 89,660km     | 82,775 km  |   0 |     6 |
| Victor                             | 11,455 m/s  | 89,674km     | 82,627 km  |   0 |     5 |
| Tornado                            | 11,001 m/s  | 87,067km     | 82,422 km  |   0 |     4 |
| Lachesis                           | 11,268 m/s  | 88,335km     | 81,658 km  |   0 |     4 |
| Astarte                            | 11,237 m/s  | 88,149km     | 81,631 km  |   0 |     6 |
| Cerberus                           | 11,159 m/s  | 87,654km     | 81,435 km  |   0 |     4 |
| Augoror Navy Issue                 | 11,407 m/s  | 89,011km     | 81,372 km  |   0 |     7 |
| Talos                              | 10,815 m/s  | 85,671km     | 81,293 km  |   0 |     5 |
| Sleipnir                           | 11,120 m/s  | 87,368km     | 81,219 km  |   0 |     5 |
| Broadsword                         | 10,792 m/s  | 85,355km     | 80,666 km  |   0 |     4 |
| Hurricane                          | 11,039 m/s  | 86,734km     | 80,630 km  |   0 |     6 |
| Cyclone                            | 11,074 m/s  | 86,904km     | 80,541 km  |   0 |     5 |
| Vexor Navy Issue                   | 11,301 m/s  | 87,907km     | 79,753 km  |   0 |     6 |
| Devoter                            | 10,508 m/s  | 83,399km     | 79,508 km  |   0 |     7 |
| Drake Navy Issue                   | 10,784 m/s  | 84,913km     | 79,358 km  |   0 |     4 |
| Mimir                              | 10,965 m/s  | 85,842km     | 79,096 km  |   0 |     6 |
| Zealot                             | 10,819 m/s  | 84,946km     | 78,835 km  |   0 |     7 |
| Rupture                            | 10,843 m/s  | 85,036km     | 78,688 km  |   0 |     5 |
| Ashimmu                            | 10,968 m/s  | 85,684km     | 78,555 km  |   0 |     6 |
| Vangel                             | 10,842 m/s  | 84,946km     | 78,416 km  |   0 |     5 |
| Guardian                           | 10,828 m/s  | 84,854km     | 78,386 km  |   0 |     5 |
| Absolution                         | 10,766 m/s  | 84,461km     | 78,216 km  |   0 |     7 |
| Celestis                           | 10,756 m/s  | 84,319km     | 77,946 km  |   1 |     4 |
| Harbinger                          | 10,313 m/s  | 81,686km     | 77,481 km  |   0 |     6 |
| Harbinger Navy Issue               | 10,313 m/s  | 81,686km     | 77,481 km  |   0 |     6 |
| Deluge                             | 10,785 m/s  | 84,196km     | 77,062 km  |   2 |     0 |
| Arazu                              | 10,670 m/s  | 83,534km     | 76,969 km  |   0 |     4 |
| Maller                             | 10,465 m/s  | 82,316km     | 76,727 km  |   0 |     6 |
| Test Site Maller                   | 10,465 m/s  | 82,316km     | 76,727 km  |   0 |     6 |
| Caracal Navy Issue                 | 10,882 m/s  | 84,616km     | 76,706 km  |   0 |     3 |
| Phobos                             | 10,335 m/s  | 81,501km     | 76,456 km  |   0 |     6 |
| Curse                              | 10,542 m/s  | 82,568km     | 76,174 km  |   0 |     4 |
| Victorieux Luxury Yacht            | 12,011 m/s  | 90,302km     | 75,887 km  |   4 |     0 |
| Prophecy                           | 10,053 m/s  | 79,584km     | 75,378 km  |   0 |     7 |
| Prophecy Navy Issue                | 10,053 m/s  | 79,584km     | 75,378 km  |   0 |     7 |
| Arbitrator                         | 10,485 m/s  | 81,966km     | 75,258 km  |   0 |     5 |
| Sacrilege                          | 10,397 m/s  | 81,424km     | 75,083 km  |   0 |     5 |
| Ferox Navy Issue                   | 10,072 m/s  | 79,488km     | 74,706 km  |   0 |     4 |
| Pilgrim                            | 10,353 m/s  | 80,980km     | 74,452 km  |   0 |     5 |
| Oracle                             | 9,972 m/s   | 78,817km     | 74,356 km  |   0 |     6 |
| Brutix Navy Issue                  | 10,280 m/s  | 80,521km     | 74,279 km  |   0 |     7 |
| Eos                                | 10,190 m/s  | 79,990km     | 74,190 km  |   0 |     7 |
| Stratios Emergency Responder       | 10,522 m/s  | 81,749km     | 73,957 km  |   0 |     5 |
| Damnation                          | 10,031 m/s  | 78,985km     | 73,817 km  |   0 |     6 |
| Cyclone Thukker Tribe Edition      | 10,136 m/s  | 79,566km     | 73,797 km  |   0 |     5 |
| Drekavac                           | 10,330 m/s  | 80,624km     | 73,734 km  |   0 |     7 |
| Vexor                              | 10,239 m/s  | 80,013km     | 73,408 km  |   0 |     5 |
| Vexor Quafe Edition                | 10,239 m/s  | 80,013km     | 73,408 km  |   0 |     5 |
| Onyx                               | 9,754 m/s   | 77,240km     | 73,212 km  |   0 |     4 |
| 毒蜥级YC117年特别版                       | 10,376 m/s  | 80,684km     | 73,141 km  |   0 |     4 |
| Nighthawk                          | 9,948 m/s   | 78,256km     | 72,970 km  |   0 |     4 |
| Scythe                             | 10,126 m/s  | 79,132km     | 72,604 km  |   5 |     0 |
| Stormbringer                       | 10,041 m/s  | 78,606km     | 72,423 km  |   0 |     3 |
| Brutix                             | 9,963 m/s   | 78,033km     | 71,984 km  |   0 |     6 |
| Etana                              | 9,819 m/s   | 77,225km     | 71,971 km  |   0 |     3 |
| Gila                               | 10,105 m/s  | 78,572km     | 71,227 km  |   0 |     3 |
| Enforcer                           | 9,766 m/s   | 76,663km     | 71,104 km  |   0 |     5 |
| 银鹰级YC117年特别版                       | 9,784 m/s   | 76,609km     | 70,627 km  |   0 |     4 |
| Moa                                | 9,742 m/s   | 76,353km     | 70,544 km  |   0 |     4 |
| Alligator                          | 9,586 m/s   | 75,478km     | 70,540 km  |   0 |     4 |
| Rook                               | 9,581 m/s   | 75,263km     | 69,928 km  |   0 |     3 |
| Naga                               | 9,315 m/s   | 73,675km     | 69,628 km  |   0 |     3 |
| Brutix Serpentis Edition           | 9,549 m/s   | 74,957km     | 69,522 km  |   0 |     6 |
| Myrmidon Navy Issue                | 9,520 m/s   | 74,777km     | 69,461 km  |   0 |     6 |
| Falcon                             | 9,554 m/s   | 74,931km     | 69,353 km  |   0 |     3 |
| Stratios                           | 9,821 m/s   | 76,299km     | 69,026 km  |   0 |     5 |
| Vulture                            | 9,174 m/s   | 72,344km     | 67,866 km  |   0 |     4 |
| Guardian-Vexor                     | 9,479 m/s   | 74,029km     | 67,815 km  |   0 |     5 |
| Prophecy Blood Raiders Edition     | 9,191 m/s   | 72,236km     | 67,203 km  |   0 |     7 |
| Osprey                             | 9,315 m/s   | 72,794km     | 66,784 km  |   2 |     1 |
| Ishtar                             | 9,286 m/s   | 72,450km     | 66,207 km  |   0 |     6 |
| Drake                              | 8,987 m/s   | 70,761km     | 66,131 km  |   0 |     4 |
| 伊什塔级YC117年特别版                      | 9,215 m/s   | 72,011km     | 66,066 km  |   0 |     6 |
| 幼龙级YC117年特别版                       | 8,814 m/s   | 69,678km     | 65,758 km  |   0 |     4 |
| Basilisk                           | 8,941 m/s   | 70,324km     | 65,539 km  |   0 |     2 |
| Myrmidon                           | 8,906 m/s   | 69,953km     | 64,980 km  |   0 |     6 |
| Blackbird                          | 8,840 m/s   | 69,542km     | 64,840 km  |   1 |     2 |
| Prowler                            | 8,898 m/s   | 69,560km     | 63,868 km  |   3 |     0 |
| Ferox                              | 8,591 m/s   | 67,798km     | 63,720 km  |   0 |     4 |
| Monitor                            | 8,290 m/s   | 65,760km     | 62,602 km  |   0 |     0 |
| Ferox Guristas Edition             | 8,419 m/s   | 66,240km     | 61,789 km  |   0 |     4 |
| Gnosis                             | 8,645 m/s   | 67,316km     | 61,220 km  |   0 |     6 |
| Eagle                              | 8,239 m/s   | 64,513km     | 59,475 km  |   0 |     4 |
