.--------------------------------------------------------------------------------------------.
|                 Ship                 | MWD Speed  | Tornado Bump | Orca Bump | RCU | Nanos |
|--------------------------------------|------------|--------------|-----------|-----|-------|
| Cockroach                            | 34,809 m/s | 98,075km     | 35,352 km |   0 |     8 |
| Gold Magnate                         | 16,516 m/s | 48,278km     | 17,628 km |   1 |     5 |
| Silver Magnate                       | 14,331 m/s | 41,891km     | 15,296 km |   2 |     3 |
| Draugur                              | 12,750 m/s | 37,068km     | 13,509 km |   2 |     2 |
| Hydra                                | 13,494 m/s | 37,047km     | 13,237 km |   1 |     3 |
| Claw                                 | 12,983 m/s | 36,284km     | 13,042 km |   4 |     0 |
| Malediction                          | 12,635 m/s | 35,475km     | 12,772 km |   4 |     0 |
| Dramiel                              | 12,737 m/s | 34,966km     | 12,494 km |   3 |     0 |
| Magus                                | 12,324 m/s | 34,642km     | 12,477 km |   3 |     1 |
| Geri                                 | 12,055 m/s | 34,505km     | 12,506 km |   4 |     0 |
| Crusader                             | 12,402 m/s | 34,458km     | 12,361 km |   4 |     0 |
| Punisher                             | 12,153 m/s | 34,322km     | 12,381 km |   1 |     4 |
| Imp                                  | 12,559 m/s | 34,270km     | 12,221 km |   4 |     0 |
| SOCT 2                               | 11,987 m/s | 33,891km     | 12,230 km |   4 |     0 |
| Caedes                               | 11,841 m/s | 33,478km     | 12,082 km |   3 |     2 |
| Bifrost                              | 11,792 m/s | 33,472km     | 12,096 km |   3 |     0 |
| Chremoas                             | 12,221 m/s | 33,471km     | 11,950 km |   3 |     0 |
| Raiju                                | 12,112 m/s | 33,400km     | 11,952 km |   3 |     0 |
| Stiletto                             | 11,931 m/s | 32,992km     | 11,817 km |   3 |     0 |
| Inquisitor                           | 11,094 m/s | 32,881km     | 12,066 km |   3 |     1 |
| Deacon                               | 11,094 m/s | 32,881km     | 12,066 km |   4 |     1 |
| Whiptail                             | 11,813 m/s | 32,625km     | 11,681 km |   4 |     0 |
| Crow                                 | 11,694 m/s | 32,546km     | 11,683 km |   2 |     0 |
| Slasher                              | 11,675 m/s | 32,534km     | 11,683 km |   2 |     0 |
| Stork                                | 11,338 m/s | 32,420km     | 11,746 km |   2 |     0 |
| Ares                                 | 11,767 m/s | 32,306km     | 11,543 km |   4 |     0 |
| Pontifex                             | 11,253 m/s | 31,998km     | 11,570 km |   5 |     0 |
| Atron                                | 11,448 m/s | 31,807km     | 11,410 km |   3 |     0 |
| Raptor                               | 11,448 m/s | 31,807km     | 11,410 km |   3 |     0 |
| Taranis                              | 11,430 m/s | 31,795km     | 11,411 km |   3 |     0 |
| Punisher Kador Edition               | 11,227 m/s | 31,705km     | 11,437 km |   2 |     2 |
| Punisher Tash-Murkon Edition         | 11,227 m/s | 31,705km     | 11,437 km |   2 |     2 |
| Garmur                               | 11,424 m/s | 31,502km     | 11,273 km |   3 |     0 |
| Endurance                            | 10,551 m/s | 31,174km     | 11,427 km |   3 |     0 |
| Vigil                                | 11,124 m/s | 31,015km     | 11,140 km |   2 |     0 |
| Executioner                          | 11,107 m/s | 31,004km     | 11,140 km |   3 |     0 |
| Burst                                | 10,699 m/s | 31,004km     | 11,285 km |   3 |     0 |
| Scalpel                              | 10,699 m/s | 31,004km     | 11,285 km |   3 |     0 |
| Republic Fleet Firetail              | 11,093 m/s | 30,995km     | 11,140 km |   3 |     0 |
| Navitas                              | 10,524 m/s | 30,597km     | 11,150 km |   3 |     0 |
| Thalia                               | 10,524 m/s | 30,597km     | 11,150 km |   4 |     0 |
| Echelon                              | 10,887 m/s | 30,512km     | 10,978 km |   0 |     0 |
| Vigil Fleet Issue                    | 10,852 m/s | 30,259km     | 10,868 km |   3 |     0 |
| Condor                               | 10,819 m/s | 30,236km     | 10,868 km |   2 |     0 |
| Mekubal                              | 10,353 m/s | 30,068km     | 10,953 km |   1 |     3 |
| Cruor                                | 10,741 m/s | 29,677km     | 10,626 km |   2 |     2 |
| Daredevil                            | 10,879 m/s | 29,405km     | 10,453 km |   4 |     0 |
| Damavik                              | 10,611 m/s | 29,132km     | 10,409 km |   2 |     1 |
| Cambion                              | 10,533 m/s | 29,081km     | 10,411 km |   2 |     1 |
| Probe Fleet Issue                    | 10,377 m/s | 29,078km     | 10,462 km |   3 |     0 |
| Imperial Navy Slicer                 | 10,523 m/s | 29,075km     | 10,411 km |   4 |     1 |
| Magnate Navy Issue                   | 10,411 m/s | 29,000km     | 10,413 km |   4 |     1 |
| Federation Navy Comet                | 10,350 m/s | 28,484km     | 10,186 km |   4 |     0 |
| Police Pursuit Comet                 | 10,350 m/s | 28,484km     | 10,186 km |   4 |     0 |
| Cheetah                              | 9,808 m/s  | 28,454km     | 10,361 km |   4 |     0 |
| Eris                                 | 10,290 m/s | 28,421km     | 10,175 km |   2 |     2 |
| Prospect                             | 9,825 m/s  | 28,410km     | 10,333 km |   4 |     0 |
| Maulus                               | 10,201 m/s | 28,385km     | 10,188 km |   3 |     0 |
| Wolf                                 | 10,022 m/s | 28,265km     | 10,191 km |   5 |     0 |
| Hyena                                | 10,002 m/s | 28,251km     | 10,192 km |   3 |     0 |
| Kikimora                             | 9,584 m/s  | 28,196km     | 10,319 km |   2 |     2 |
| Pacifier                             | 9,626 m/s  | 27,834km     | 10,124 km |   3 |     1 |
| Jaguar                               | 9,759 m/s  | 27,685km     | 10,002 km |   3 |     0 |
| Rifter                               | 9,923 m/s  | 27,624km     | 9,917 km  |   4 |     0 |
| Rifter Nefantar Edition              | 9,923 m/s  | 27,624km     | 9,917 km  |   3 |     0 |
| Rifter Krusual Edition               | 9,923 m/s  | 27,624km     | 9,917 km  |   3 |     0 |
| Breacher                             | 9,892 m/s  | 27,604km     | 9,917 km  |   3 |     0 |
| Bantam                               | 9,456 m/s  | 27,582km     | 10,063 km |   2 |     0 |
| Kirin                                | 9,456 m/s  | 27,582km     | 10,063 km |   2 |     0 |
| Caldari Navy Hookbill                | 9,766 m/s  | 27,232km     | 9,781 km  |   2 |     0 |
| Probe                                | 9,703 m/s  | 27,189km     | 9,782 km  |   3 |     0 |
| Vherokior Probe                      | 9,703 m/s  | 27,189km     | 9,782 km  |   3 |     0 |
| Freki                                | 9,303 m/s  | 26,629km     | 9,651 km  |   4 |     0 |
| Crucifier                            | 9,519 m/s  | 26,492km     | 9,509 km  |   3 |     0 |
| Magnate                              | 9,508 m/s  | 26,484km     | 9,509 km  |   4 |     0 |
| Sarum Magnate                        | 9,508 m/s  | 26,484km     | 9,509 km  |   4 |     0 |
| Tash-Murkon Magnate                  | 9,508 m/s  | 26,484km     | 9,509 km  |   4 |     0 |
| Keres                                | 9,317 m/s  | 26,355km     | 9,512 km  |   3 |     0 |
| Malice                               | 9,216 m/s  | 26,268km     | 9,506 km  |   1 |     2 |
| Imicus Navy Issue                    | 9,482 m/s  | 26,179km     | 9,372 km  |   4 |     0 |
| Virtuoso                             | 9,036 m/s  | 26,157km     | 9,517 km  |   4 |     0 |
| Heron Navy Issue                     | 9,260 m/s  | 26,031km     | 9,375 km  |   2 |     0 |
| Catalyst Navy Issue                  | 8,853 m/s  | 26,018km     | 9,518 km  |   0 |     3 |
| Succubus                             | 9,392 m/s  | 25,830km     | 9,235 km  |   3 |     0 |
| Thrasher Fleet Issue                 | 8,726 m/s  | 25,780km     | 9,449 km  |   1 |     2 |
| Incursus                             | 9,299 m/s  | 25,770km     | 9,236 km  |   4 |     0 |
| Incursus Aliastra Edition            | 9,299 m/s  | 25,770km     | 9,236 km  |   4 |     0 |
| Incursus Inner Zone Shipping Edition | 9,299 m/s  | 25,770km     | 9,236 km  |   4 |     0 |
| Crucifier Navy Issue                 | 9,247 m/s  | 25,735km     | 9,237 km  |   3 |     0 |
| Heron                                | 9,126 m/s  | 25,653km     | 9,239 km  |   2 |     0 |
| Sukuuvestaa Heron                    | 9,126 m/s  | 25,653km     | 9,239 km  |   2 |     0 |
| Sentinel                             | 9,025 m/s  | 25,584km     | 9,241 km  |   3 |     0 |
| Heretic                              | 8,907 m/s  | 25,471km     | 9,228 km  |   2 |     1 |
| Tormentor                            | 9,089 m/s  | 25,342km     | 9,102 km  |   4 |     0 |
| Venture                              | 8,924 m/s  | 25,229km     | 9,105 km  |   1 |     0 |
| Skybreaker                           | 9,112 m/s  | 25,068km     | 8,963 km  |   3 |     0 |
| Imicus                               | 9,070 m/s  | 25,040km     | 8,964 km  |   3 |     0 |
| Inner Zone Shipping Imicus           | 9,070 m/s  | 25,040km     | 8,964 km  |   3 |     0 |
| Helios                               | 8,697 m/s  | 24,788km     | 8,970 km  |   3 |     0 |
| Coercer Navy Issue                   | 8,323 m/s  | 24,720km     | 9,078 km  |   0 |     4 |
| Tristan Quafe Edition                | 8,990 m/s  | 24,699km     | 8,827 km  |   3 |     0 |
| Retribution                          | 8,880 m/s  | 24,684km     | 8,856 km  |   3 |     2 |
| Shapash                              | 8,853 m/s  | 24,609km     | 8,830 km  |   4 |     0 |
| Griffin                              | 8,850 m/s  | 24,607km     | 8,830 km  |   2 |     0 |
| Griffin Navy Issue                   | 8,850 m/s  | 24,607km     | 8,830 km  |   2 |     0 |
| Kestrel                              | 8,773 m/s  | 24,555km     | 8,831 km  |   2 |     0 |
| Worm                                 | 8,817 m/s  | 24,296km     | 8,692 km  |   2 |     0 |
| Utu                                  | 8,503 m/s  | 24,086km     | 8,697 km  |   4 |     0 |
| Sabre                                | 8,416 m/s  | 24,025km     | 8,699 km  |   2 |     0 |
